School_group,Major_cat,School,Major,Year,Gender,Age,Close_friend,Closefriend_inout,GPAX,Health_status,Health_status_iden,Family_type,Recieve_care,Recieve_care_other,Family_income,Family_income_enough,Studen_income,Student_income_enough,Dormitory,Relation_fam,Relation_friend,Relation_aj,Feel_uni_1,Feel_uni_2,Feel_uni_3,Feel_uni_4,Feel_uni_5,Feel_uni_6,Feel_envi_7,Feel_envi_8,Feel_envi_9,Feel_envi_10,Feel_envi_11,Feel_envi_12,Feel_envi_13,Feel_envi_14,Relax_activity,Problem,Problem_study,Problem_love,Problem_adjust,Problem_econ,Problem_other,Attitude,Attitude_iden,Learning_style_1,Learning_style_2,Learning_style_3,Learning_style_4,Learning_style_5,Learning_style_6,Learning_style_7,Learning_style_8,Learning_style_9,Learning_style_10,Learning_style_11,Learning_style_12,Learning_style_13,Learning_style_14,Learning_style_15,Learning_style_16,Learning_style_17,Learning_style_18,Learning_style_19,Learning_style_20,Learning_style_21,Learning_style_22,Learning_style_23,Learning_style_24,Learning_style_25,Learning_style_26,Learning_style_27,Learning_style_28,Learning_style_29,Learning_style_30
1,1.00,การจัดการ,อุตสาหกรรมการบริการ,2,1,19,5,1,2.25,1,,1,1,,100000,2,5000,1,2,5,5,4,4,3,3,3,4,4,4,3,999,4,3,5,5,5,#NULL!,1,1,0,0,1,0,2.0,ชอบ,5,4,4,4,4,4,4,4,5,5,4,5,5,4,4,4,5,5,3,3,4,5,3,5,3,3,5,5,4,4
1,1.00,การจัดการ,บริหารธุรกิจ,2,1,20,1,1,1.83,1,,2,1,,50000,1,7000,1,2,4,4,3,5,2,3,3,4,4,3,2,3,4,3,5,5,5,#NULL!,1,1,0,0,0,0,2.0,มีวิชาที่น่าสนใจเยอะ,3,3,5,5,5,4,4,4,2,4,3,5,1,3,3,3,4,1,3,3,5,3,5,5,3,5,1,1,4,1
1,1.00,การจัดการ,การจัดการการท่องเที่ยว,2,1,19,2,1,2.00,1,,2,1,,999,2,2000,2,2,5,5,3,3,3,4,3,2,3,4,4,5,3,3,5,5,5,#NULL!,1,1,0,0,0,0,1.0,,3,4,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,4
1,1.00,การจัดการ,บริหารธุรกิจ,3,1,21,1,2,3.09,1,,2,1,,999,1,7500,1,2,5,3,2,3,3,3,3,3,3,5,3,3,3,3,5,5,5,#NULL!,1,0,0,1,0,0,2.0,ได้รู้จักคนทัศนคติที่แตกต่างจากสาขาตนเอง,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,4,5,4,3,4,4,4,4,4
1,1.00,การจัดการ,การบัญชี,3,1,21,1,2,3.70,1,,2,1,,100000,1,15000,1,2,5,0,-5,-1,-1,3,999,3,5,5,-4,-4,5,3,-4,5,5,#NULL!,1,1,0,0,0,0,2.0,หางานง่าย,2,5,3,3,2,2,5,5,1,5,5,4,5,1,1,4,1,5,5,1,3,5,2,5,1,1,5,5,5,5
1,1.00,การจัดการ,accounting,4,1,22,2,1,2.56,1,,2,1,,70000,1,15000,1,2,3,4,3,3,2,2,2,3,2,4,3,999,4,999,4,5,5,#NULL!,1,1,0,1,0,0,1.0,,3,5,4,4,5,4,5,5,4,3,5,4,3,4,4,4,5,3,5,5,4,4,5,3,4,4,3,2,3,4
1,1.00,การจัดการ,การบัญชี,3,1,20,3,1,2.38,1,,2,1,,30000,1,10000,1,2,5,3,4,3,3,3,4,3,4,4,3,3,5,5,4,5,5,#NULL!,1,1,0,0,0,0,2.0,การบัญชี,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1,1.00,การจัดการ,BA,4,1,23,6,2,2.09,1,,2,1,,999,3,12000,1,2,5,3,2,3,2,2,2,4,2,-3,1,4,4,5,4,5,5,#NULL!,1,1,1,1,1,0,2.0,ชอบด้านนี้อยู่แล้ว,2,2,2,1,1,2,1,1,2,2,2,2,4,2,1,1,1,1,1,1,1,2,4,4,1,1,1,1,5,4
1,1.00,การจัดการ,การท่องเที่ยว,2,1,20,5,1,2.36,1,,2,1,,999,2,4000,2,2,5,5,4,1,1,2,2,4,4,3,4,3,3,5,4,5,5,#NULL!,1,1,0,0,1,0,2.0,สายงานกว้าง,2,5,4,4,4,2,4,3,2,4,2,3,3,4,4,2,4,4,4,4,5,4,3,2,3,5,3,2,3,5
1,1.00,การจัดการ,การท่องเที่ยว,2,1,20,5,1,2.36,1,,2,1,,999,3,4000,2,2,5,5,4,2,2,1,2,3,4,1,3,3,3,5,4,5,5,#NULL!,1,1,0,0,1,0,2.0,สายงานกว้าง,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1,1.00,การจัดการ,บริหารธุรกิจ,3,1,20,1,1,3.10,2,ภูมิเเพ้,2,3,,999,3,15000,1,2,4,3,3,3,3,3,4,3,999,5,3,999,5,4,4,5,5,#NULL!,1,0,0,0,0,1,2.0,สามารถเข้าถึงสายงานได้หลากหลาย,4,5,3,2,1,4,3,4,3,4,4,4,5,5,5,5,5,5,3,3,3,3,3,1,5,5,5,5,1,5
1,1.00,การจัดการ,การบัญชี,4,1,21,2,2,2.25,1,,1,2,,60000,1,5000,1,2,5,1,0,3,0,4,4,4,4,4,5,5,5,4,4,5,5,#NULL!,1,1,0,1,0,0,2.0,จบไปสามารถเป็นบัณฑิตที่มีคุณภาพได้ ไม่แพ้มหาวิทยาลัยชั้นนำอื่นๆ,3,4,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,3,4
1,1.00,การจัดการ,logistics and supply chain,3,1,21,6,1,2.75,1,,2,1,,25000,2,4500,2,2,5,5,3,4,5,5,5,5,4,5,4,5,5,4,4,5,5,#NULL!,1,1,0,0,1,0,2.0,ชอบ,2,4,4,4,4,2,5,4,4,5,4,4,2,4,4,4,5,2,5,4,5,4,5,2,4,4,2,1,1,4
